"scheme","variable","bucket","member","weight"
"logscore","unemp_rate","far","ucsv",0.027326967464667
"logscore","unemp_rate","far","ucmean",0.0272727272727332
"logscore","cash_rate","near","small_minn",0.0277786675633073
"logscore","cash_rate","near","small_ss",0.030880654894337
"logscore","cash_rate","near","small_sv",0.723130529108364
"logscore","cash_rate","near","small_loose_p5",0.0272759473832196
"logscore","cash_rate","near","medium_minn",0.0272727272829987
"logscore","cash_rate","near","medium_conj",0.0272973241222935
"logscore","cash_rate","near","small_tight",0.0272728712136641
"logscore","cash_rate","near","rw",0.0272727405860782
"logscore","cash_rate","near","ar4",0.0272730833002836
"logscore","cash_rate","near","ucsv",0.0272727272727273
"logscore","cash_rate","near","ucmean",0.0272727272727273
"logscore","cash_rate","medium","small_minn",0.027321529219562
"logscore","cash_rate","medium","small_ss",0.0291253132144733
"logscore","cash_rate","medium","small_sv",0.0272727272728179
"logscore","cash_rate","medium","small_loose_p5",0.0274002858778836
"logscore","cash_rate","medium","medium_minn",0.0272727272727274
"logscore","cash_rate","medium","medium_conj",0.0273623327329257
"logscore","cash_rate","medium","small_tight",0.0272727272729168
"logscore","cash_rate","medium","rw",0.0282943207512178
"logscore","cash_rate","medium","ar4",0.72413258184002
"logscore","cash_rate","medium","ucsv",0.0272727272727273
"logscore","cash_rate","medium","ucmean",0.0272727272727277
"logscore","cash_rate","far","small_minn",0.0272727947064564
"logscore","cash_rate","far","small_ss",0.0274363621038861
"logscore","cash_rate","far","small_sv",0.0272727272727273
"logscore","cash_rate","far","small_loose_p5",0.0272728296083653
"logscore","cash_rate","far","medium_minn",0.0272727272727273
"logscore","cash_rate","far","medium_conj",0.0272727272728244
"logscore","cash_rate","far","small_tight",0.0272727272727273
"logscore","cash_rate","far","rw",0.0272727887925975
"logscore","cash_rate","far","ar4",0.713690384495492
"logscore","cash_rate","far","ucsv",0.0272727272727273
"logscore","cash_rate","far","ucmean",0.0406912039294692
"pool","gdp_growth","near","small_minn",0.0272998220196807
"pool","gdp_growth","near","small_ss",0.0272752131300607
"pool","gdp_growth","near","small_sv",0.367540828853801
"pool","gdp_growth","near","small_loose_p5",0.126730800743935
"pool","gdp_growth","near","medium_minn",0.027273125062877
"pool","gdp_growth","near","medium_conj",0.0272734274442369
"pool","gdp_growth","near","small_tight",0.214310604125364
"pool","gdp_growth","near","rw",0.100476635391404
"pool","gdp_growth","near","ar4",0.0272740802271733
"pool","gdp_growth","near","ucsv",0.0272727289245578
"pool","gdp_growth","near","ucmean",0.0272727340769085
"pool","gdp_growth","medium","small_minn",0.0272768568353209
"pool","gdp_growth","medium","small_ss",0.0272727315531175
"pool","gdp_growth","medium","small_sv",0.0661670138970893
"pool","gdp_growth","medium","small_loose_p5",0.027272841856493
"pool","gdp_growth","medium","medium_minn",0.0272728371732427
"pool","gdp_growth","medium","medium_conj",0.0272955196503907
"pool","gdp_growth","medium","small_tight",0.575067263827679
"pool","gdp_growth","medium","rw",0.140541891378402
"pool","gdp_growth","medium","ar4",0.0272727283283428
"pool","gdp_growth","medium","ucsv",0.027287587530826
"pool","gdp_growth","medium","ucmean",0.0272727279690963
"pool","gdp_growth","far","small_minn",0.0272757492208321
"pool","gdp_growth","far","small_ss",0.0272793189646999
"pool","gdp_growth","far","small_sv",0.0272727273778241
"pool","gdp_growth","far","small_loose_p5",0.0272727445917002
"pool","gdp_growth","far","medium_minn",0.0272727273928349
"pool","gdp_growth","far","medium_conj",0.282198564891205
"pool","gdp_growth","far","small_tight",0.349264023496656
"pool","gdp_growth","far","rw",0.15034398676307
"pool","gdp_growth","far","ar4",0.027274667840177
"pool","gdp_growth","far","ucsv",0.0272727279100435
"pool","gdp_growth","far","ucmean",0.0272727615509579
"pool","cpi_inflation","near","small_minn",0.322103247018617
"pool","cpi_inflation","near","small_ss",0.0272732472734258
"pool","cpi_inflation","near","small_sv",0.0272727275057771
"pool","cpi_inflation","near","small_loose_p5",0.0272727274120137
"pool","cpi_inflation","near","medium_minn",0.027272727629411
"pool","cpi_inflation","near","medium_conj",0.0357763236911204
"pool","cpi_inflation","near","small_tight",0.0272779682072821
"pool","cpi_inflation","near","rw",0.333109459306491
"pool","cpi_inflation","near","ar4",0.118096113178642
"pool","cpi_inflation","near","ucsv",0.0272727273973816
"pool","cpi_inflation","near","ucmean",0.0272727313798384
"pool","cpi_inflation","medium","small_minn",0.0272757356268044
"pool","cpi_inflation","medium","small_ss",0.0272727632924515
"pool","cpi_inflation","medium","small_sv",0.027272827713319
"pool","cpi_inflation","medium","small_loose_p5",0.0272727354353871
"pool","cpi_inflation","medium","medium_minn",0.0528017747830187
"pool","cpi_inflation","medium","medium_conj",0.160830580762416
"pool","cpi_inflation","medium","small_tight",0.0272727448021181
"pool","cpi_inflation","medium","rw",0.278312421157696
"pool","cpi_inflation","medium","ar4",0.317142933122948
"pool","cpi_inflation","medium","ucsv",0.0272727362107586
"pool","cpi_inflation","medium","ucmean",0.0272727470930831
"pool","cpi_inflation","far","small_minn",0.0272789377375328
"pool","cpi_inflation","far","small_ss",0.027273704556995
"pool","cpi_inflation","far","small_sv",0.0272727397770712
