"member","variable","h","point","lo90","hi90","origin_date"
"combo_equal","gdp_growth",1,0.549874010186218,-0.343920879197045,1.41701291975592,2026-01-01
"combo_equal","gdp_growth",2,0.534540751956114,-0.359534373564696,1.44389132635329,2026-01-01
"combo_equal","gdp_growth",3,0.623804141738847,-0.462357129445869,1.60305044309086,2026-01-01
"combo_equal","gdp_growth",4,0.645300255679975,-0.5104883332667,1.5109543206808,2026-01-01
"combo_equal","gdp_growth",5,0.588735816480736,-0.469804332972551,1.67641050521907,2026-01-01
"combo_equal","gdp_growth",6,0.623914390978912,-0.624681686069588,1.65833649002519,2026-01-01
"combo_equal","gdp_growth",7,0.575194200415299,-0.639223606960149,1.49470211043228,2026-01-01
"combo_equal","gdp_growth",8,0.578200894514747,-0.542033843971887,1.73514721823506,2026-01-01
"combo_equal","gdp_growth",9,0.598177661303399,-0.822619176036894,1.585167608442,2026-01-01
"combo_equal","gdp_growth",10,0.565017634825598,-0.699904103102277,1.54266287539368,2026-01-01
"combo_equal","gdp_growth",11,0.641966564691143,-0.513676935905343,1.91573288956318,2026-01-01
"combo_equal","gdp_growth",12,0.648829292273458,-0.562280499998397,1.81252076138189,2026-01-01
"combo_equal","cpi_inflation",1,0.788209300290612,0.472776391759839,1.13542334915676,2026-01-01
"combo_equal","cpi_inflation",2,0.783014908810217,0.396183109219452,1.13005179163276,2026-01-01
"combo_equal","cpi_inflation",3,0.764121965343264,0.373809782533969,1.16149979064196,2026-01-01
"combo_equal","cpi_inflation",4,0.768031623657415,0.352589455281512,1.14943399842605,2026-01-01
"combo_equal","cpi_inflation",5,0.782672669680544,0.371063082965724,1.19044152426329,2026-01-01
"combo_equal","cpi_inflation",6,0.767883585541552,0.366951970403463,1.17753490846108,2026-01-01
"combo_equal","cpi_inflation",7,0.757513974234997,0.339227552641049,1.22615855208985,2026-01-01
"combo_equal","cpi_inflation",8,0.769726842022061,0.374844942706996,1.25667840795624,2026-01-01
"combo_equal","cpi_inflation",9,0.736918595441311,0.298472825765497,1.19357901168633,2026-01-01
"combo_equal","cpi_inflation",10,0.74074080609145,0.271312938501041,1.20129677502238,2026-01-01
"combo_equal","cpi_inflation",11,0.738592925071666,0.246528837854307,1.21478531316274,2026-01-01
"combo_equal","cpi_inflation",12,0.73757752554299,0.207143617435073,1.27757820380148,2026-01-01
"combo_equal","unemp_rate",1,4.25094360832684,3.94901674357539,5.27959621337529,2026-01-01
"combo_equal","unemp_rate",2,4.27635421536961,3.81724936534493,5.13514822871047,2026-01-01
"combo_equal","unemp_rate",3,4.28539172766425,3.72778396845844,5.21759583626412,2026-01-01
"combo_equal","unemp_rate",4,4.340435157201,3.74507844859478,5.55005466417953,2026-01-01
"combo_equal","unemp_rate",5,4.36568474928298,3.55429974058312,5.46130316331694,2026-01-01
"combo_equal","unemp_rate",6,4.39726090248249,3.58380034217189,5.53260717907078,2026-01-01
"combo_equal","unemp_rate",7,4.38705510504985,3.49973880856431,5.72254880698106,2026-01-01
"combo_equal","unemp_rate",8,4.46590064217718,3.3917618428733,5.49606793273432,2026-01-01
"combo_equal","unemp_rate",9,4.4920930808824,3.51612877726264,5.74700755906405,2026-01-01
"combo_equal","unemp_rate",10,4.44506782273197,3.35567100347183,5.92961201269141,2026-01-01
"combo_equal","unemp_rate",11,4.4443049154532,3.29983077825042,5.78242908884893,2026-01-01
"combo_equal","unemp_rate",12,4.49248034743847,3.25206613629744,5.94437411893798,2026-01-01
"combo_equal","cash_rate",1,3.87976652233516,3.18731434646816,4.45803166843395,2026-01-01
"combo_equal","cash_rate",2,3.89210480371311,2.99919213372842,4.72727980602845,2026-01-01
"combo_equal","cash_rate",3,3.8548358827827,2.53267176112279,4.88543134423688,2026-01-01
